id,bedrooms,bathrooms,sqft_living,sqft_lot,zipcode,grade,sale_id,date,price,house_id,long,lat,date,sqft_living15,sqft_lot15
7129300520,3.0,1.0,1180.0,5650.0,98178,7,1,2014-10-13,221900.0,7129300520,-122.257,47.5112,2014-10-13,1340.0,5650.0
6414100192,3.0,2.25,2570.0,7242.0,98125,7,2,2014-12-09,538000.0,6414100192,-122.319,47.721,2014-12-09,1690.0,7639.0
5631500400,2.0,1.0,770.0,10000.0,98028,6,3,2015-02-25,180000.0,5631500400,-122.233,47.7379,2015-02-25,2720.0,8062.0
2487200875,4.0,3.0,1960.0,5000.0,98136,7,4,2014-12-09,604000.0,2487200875,-122.393,47.5208,2014-12-09,1360.0,5000.0
1954400510,3.0,2.0,1680.0,8080.0,98074,8,5,2015-02-18,510000.0,1954400510,-122.045,47.6168,2015-02-18,1800.0,7503.0
7237550310,4.0,4.5,5420.0,101930.0,98053,11,6,2014-05-12,1230000.0,7237550310,-122.005,47.6561,2014-05-12,4760.0,101930.0
1321400060,3.0,2.25,1715.0,6819.0,98003,7,7,2014-06-27,257500.0,1321400060,-122.327,47.3097,2014-06-27,2238.0,6819.0
2008000270,3.0,1.5,1060.0,9711.0,98198,7,8,2015-01-15,291850.0,2008000270,-122.315,47.4095,2015-01-15,1650.0,9711.0
2414600126,3.0,1.0,1780.0,7470.0,98146,7,9,2015-04-15,229500.0,2414600126,-122.337,47.5123,2015-04-15,1780.0,8113.0
3793500160,3.0,2.5,1890.0,6560.0,98038,7,10,2015-03-12,323000.0,3793500160,-122.031,47.3684,2015-03-12,2390.0,7570.0
1736800520,3.0,2.5,3560.0,9796.0,98007,8,11,2015-04-03,662500.0,1736800520,-122.145,47.6007,2015-04-03,2210.0,8925.0
9212900260,2.0,1.0,1160.0,6000.0,98115,7,12,2014-05-27,468000.0,9212900260,-122.292,47.69,2014-05-27,1330.0,6000.0
114101516,3.0,1.0,1430.0,19901.0,98028,7,13,2014-05-28,310000.0,114101516,-122.229,47.7558,2014-05-28,1780.0,12697.0
6054650070,3.0,1.75,1370.0,9680.0,98074,7,14,2014-10-07,400000.0,6054650070,-122.045,47.6127,2014-10-07,1370.0,10208.0
1175000570,5.0,2.0,1810.0,4850.0,98107,7,15,2015-03-12,530000.0,1175000570,-122.394,47.67,2015-03-12,1360.0,4850.0
9297300055,4.0,3.0,2950.0,5000.0,98126,9,16,2015-01-24,650000.0,9297300055,-122.375,47.5714,2015-01-24,2140.0,4000.0
1875500060,3.0,2.0,1890.0,14040.0,98019,7,17,2014-07-31,395000.0,1875500060,-121.962,47.7277,2014-07-31,1890.0,14018.0
6865200140,4.0,1.0,1600.0,4300.0,98103,7,18,2014-05-29,485000.0,6865200140,-122.343,47.6648,2014-05-29,1610.0,4300.0
16000397,2.0,1.0,1200.0,9850.0,98002,7,19,2014-12-05,189000.0,16000397,-122.21,47.3089,2014-12-05,1060.0,5095.0
7983200060,3.0,1.0,1250.0,9774.0,98003,7,20,2015-04-24,230000.0,7983200060,-122.306,47.3343,2015-04-24,1280.0,8850.0
6300500875,4.0,1.75,1620.0,4980.0,98133,7,21,2014-05-14,385000.0,6300500875,-122.341,47.7025,2014-05-14,1400.0,4980.0
2524049179,3.0,2.75,3050.0,44867.0,98040,9,22,2014-08-26,2000000.0,2524049179,-122.233,47.5316,2014-08-26,4110.0,20336.0
7137970340,5.0,2.5,2270.0,6300.0,98092,8,23,2014-07-03,285000.0,7137970340,-122.169,47.3266,2014-07-03,2240.0,7005.0
8091400200,2.0,1.5,1070.0,9643.0,98030,7,24,2014-05-16,252700.0,8091400200,-122.166,47.3533,2014-05-16,1220.0,8386.0
3814700200,3.0,2.25,2450.0,6500.0,98030,8,25,2014-11-20,329000.0,3814700200,-122.17298,47.3739,2014-11-20,2200.0,6865.0
1202000200,3.0,2.0,1710.0,4697.0,98002,6,26,2014-11-03,233000.0,1202000200,-122.218,47.3048,2014-11-03,1030.0,4705.0
1794500383,3.0,1.75,2450.0,2691.0,98119,8,27,2014-06-26,937000.0,1794500383,-122.36,47.6386,2014-06-26,1760.0,3573.0
3303700376,3.0,1.0,1400.0,1581.0,98112,8,28,2014-12-01,667000.0,3303700376,-122.314,47.6221,2014-12-01,1860.0,3861.0
5101402488,3.0,1.75,1520.0,6380.0,98115,7,29,2014-06-24,438000.0,5101402488,-122.304,47.695,2014-06-24,1520.0,6235.0
1873100390,4.0,2.5,2570.0,7173.0,98052,8,30,2015-03-02,719000.0,1873100390,-122.11,47.7073,2015-03-02,2630.0,6026.0
8562750320,3.0,2.5,2320.0,3980.0,98027,8,31,2014-11-10,580500.0,8562750320,-122.07,47.5391,2014-11-10,2580.0,3980.0
2426039314,2.0,1.5,1190.0,1265.0,98133,7,32,2014-12-01,280000.0,2426039314,-122.357,47.7274,2014-12-01,1390.0,1756.0
461000390,4.0,1.75,2330.0,5000.0,98117,7,33,2014-06-24,687500.0,461000390,-122.368,47.6823,2014-06-24,1460.0,5000.0
7589200193,3.0,1.0,1090.0,3000.0,98117,8,34,2014-11-10,535000.0,7589200193,-122.375,47.6889,2014-11-10,1570.0,5080.0
7955080270,4.0,2.75,2060.0,6659.0,98058,7,35,2014-12-03,322500.0,7955080270,-122.157,47.4276,2014-12-03,2020.0,8720.0
9547205180,3.0,2.5,2300.0,3060.0,98115,8,36,2014-06-13,696000.0,9547205180,-122.31,47.6827,2014-06-13,1590.0,3264.0
9435300030,4.0,1.0,1660.0,34848.0,98052,5,37,2014-05-28,550000.0,9435300030,-122.132,47.6621,2014-05-28,2160.0,11467.0
2768000400,4.0,2.0,2360.0,6000.0,98107,8,38,2014-12-30,640000.0,2768000400,-122.362,47.6702,2014-12-30,1730.0,4700.0
7895500070,4.0,1.0,1220.0,8075.0,98001,7,39,2015-02-13,240000.0,7895500070,-122.282,47.3341,2015-02-13,1290.0,7800.0
2078500320,4.0,2.5,2620.0,7553.0,98056,8,40,2014-06-20,605000.0,2078500320,-122.18,47.5301,2014-06-20,2620.0,11884.0
5547700270,4.0,2.5,2570.0,5520.0,98074,9,41,2014-07-15,625000.0,5547700270,-122.027,47.6145,2014-07-15,2470.0,5669.0
